USUARIO,SEGUIDORES,FECHA,TIPO,LIKES,COMMS,DESCRIPCION
lilbieber,292197274,09/02/2026,Post,194446,2790,FRIDAY @skylrk * @haileybieber
lilbieber,292197274,09/02/2026,Post,556224,5139,
lilbieber,292197274,09/02/2026,Post,205144,2481,friday @skylrk * @haileybieber
lilbieber,292197274,09/02/2026,Post,70591,519,friday @skylrk * @haileybieber
lilbieber,292197274,09/02/2026,Post,156012,1194,friday. @skylrk * @haileybieber
lilbieber,292197274,08/02/2026,Post,775784,2948,
lilbieber,292197274,24/01/2026,Post,1076727,11735,
lilbieber,292197274,24/01/2026,Post,439281,3291,
lilbieber,292197274,16/01/2026,Post,340149,4462,This Laroi album is the tits  @thekidlaroi
lilbieber,292197274,16/01/2026,Post,163711,2015,
lilbieber,292197274,16/01/2026,Post,321826,2287,📷 : @rorykramer
lilbieber,292197274,16/01/2026,Post,253231,1521,Available at 10am today PST
